name,category,subCategory,brand,specifications,mainImageUrl,secondaryImageUrls,technicalSheetFileName,technicalSheetUrl,manuals
Producto,Categoría,Subcategoría,Marca,Especificaciones del producto,URL,URL1;URL2;URL3,Nombre del archivo técnico,URL del archivo técnico,URL_manual1;URL_manual2
Sembradora  27000+,Siembra y Laboreo,Sembradoras,Apache,"CARACTERÍSTICAS PRINCIPALES

- Dosificador Mecánico de plano inclinado o Matermacc / Precision Planting.
- Más de 250 diferentes configuraciones.
- Mando flexible en la transmisión de los dosificadores.
- Distanciamientos a 35, 38, 42, 52, 70, 76 cm.
- El sistema hidráulico estabilizador permite un copiado óptimo del terreno que está trabajando, mientras protege al chasis de alteraciones debido a demandas excesivas.
- Tolvas de gran autonomía para semilla y fertilizante con opción de ser utilizada solamente con semillas, aprovechando el 85% de su capacidad total.
- Dosificador de fertilizante, rueda tipo chevrón.
- Acople trasero, para incorporar autodescargable.
- Ruedas de alta flotación, auto-orientables para trabajo y transporte, montadas sobre paralelogramo de accionamiento hidráulico.
- Regulación densidad de siembra y fertilizante mediante variador de velocidad.

OPCIONALES

- Variador de velocidad mecánico o electrónico
- Tren de siembra, doble disco abresurco de 16”, mazas de los discos abresurcos forjadas y abulonadas con 8 bulones de acero grado 8, cuchilla de corte delantera de 17”, ruedas tapadoras con horquilla opcional independiente


-Opcionales tapadoras de semillas
Con disco escotado
Rueda tapadora de hierro
Disco tapador dentado


-Opcionales apretadoras de semillas
Rueda de caucho de 1” x 9/12 con registro de carga
Lengüeta de nylon con registro de altura

 

DOSIFICADORES
- Mecanico Apache plano inclinado, cuenta con el ángulo justo para el mejor tratamiento de la semilla
- Neumático
- Precision Planting
- Matermacc",https://drive.google.com/file/d/1NceIMZ44nnB57LY_j3Mk6iuH0-wZSm87/view?usp=drive_link,https://drive.google.com/file/d/1kyGd1tTt1bHuI1JO5gORWa8ni91XkMmK/view?usp=drive_link; https://drive.google.com/file/d/1VaX3xaKZd3jnwVKMsttPeVAX5L7HquSE/view?usp=drive_link; https://drive.google.com/file/d/1Qz_Mmqm8WgK95F226CjU7EZckQ5UDsz3/view?usp=drive_link; https://drive.google.com/file/d/10a24jr1Sh1NuHVZtvL-A4IIV1ybFEhjR/view?usp=drive_link; https://drive.google.com/file/d/1-S0ZPSKB3m3vVpvoZU0dbQv-S_bHjzCa/view?usp=drive_link,Especificaciones de la maquinaria,https://drive.google.com/file/d/1RtsvC0Oz7dJP7XdKJDcboLX0UcCX65sp/view?usp=drive_link,.
Sembradora 54000,Siembra y Laboreo,Sembradoras,Apache,"CARACTERíSTICAS PRINCIPALES

- Conversión para siembra de granos gruesos y finos.

- Medidas:
  En un módulo: 4, 5 , 6 y 7 metros de ancho
  En dos módulos: 8, 10 y 12 metros
  En tres módulos: 15 metros

- Sistema Hidráulico: le brinda al chasis un mayor margen de absorción de los terrenos con desnivel.

- La regulación de siembra es con caja de engranaje en baño de aceite de 54 cambios. En fertilizantes es con un variador de velocidad mecánico el cual podemos hacer electrónico para que responda a las variaciones de diagnóstico agronómico dentro del lote entregando las prescripciones de diferentes dosis.

- Placa de siembra: es realizado con Nylon de alta resistencia y tiene un diámetro superior al común.

- El cuerpo sembrador: está compuesto por una cuchilla abre surco de 17” , el copiado de terreno con doble paralelogramo de presión regulable manualmente, los dobles discos de 16” montados sobre maza de acero forjada abulonada grado 8 .

- El cuerpo de la sembradora que no voy a utilizar se puede bloquear con un simple perno, sin mover ni correr, de esa manera una máquina a 17,5 cm la puedo configurar a placa a 35, 52 y 70 cm. Ruedas niveladoras y tapadoras no tienen buje en el lugar de pivoteo sino rodamiento blindados.

OPCIONALES

- Opcionales, tolva alfalfera para todas las medidas

Opcionales ruedas tapadoras
• Con disco escotado
• Tapadoras de hierro
• Tapador dentado

- Posibilidad de adaptarle sistema neumático Precision Planting o Matermacc

- Muy sencillo y rápido para pasar de granos finos a gruesos y viceversa

- Medidas de chasis

  1 Módulo (4-5-6-7 mts)
  2 Módulos (8-10-12 mts)
  3 Módulos (15 mts)

VERSATILIDAD EN CONFIGURACIONES

- Opciones en distanciamiento 17.5, 19, 21, 26, 35, 38, 42, 52, 70, 76 cm. (acá puede quedar fija la palabra distanciamiento y aparecer los números uno arriba del otro o bien como si fuera un rodillo ir pasando con el término CM fijo también –solo se mueven los números-)

- Tolva compartimentada para semilla y fertilizante​",https://drive.google.com/file/d/1_1wgte80bJlIjQ_m562_k6tUHe3QNCbS/view?usp=drive_link,https://drive.google.com/file/d/1BW1IUoaTGvjxxytBLdOjSfliHEq2Hsy3/view?usp=drive_link; https://drive.google.com/file/d/1teWvdZSrEE291DTKRWULi7MXcfFN465Q/view?usp=drive_link; https://drive.google.com/file/d/1BW1IUoaTGvjxxytBLdOjSfliHEq2Hsy3/view?usp=drive_link,,https://drive.google.com/file/d/1_aMw27U9wFX4rbmPLiExXvcED57sDxBy/view?usp=drive_link,.
Sembradora 99000,Siembra y Laboreo,Sembradoras,Apache,"CARACTERÍSTICAS PRINCIPALES


Dosificador de semillas y regulación: La máquina siembra con dosificadores neumáticos Precision planting VSet2 o Matermacc.

Distanciamientos posibles: 35l./350mm, 33l./382mm, 30l./ 420mm, 24 l./525mm, 18l./700mm y 17l./764mm

Chasis y Transporte: Chasis central y dos sub chasis laterales, de estructura tubular (ancho de trabajo, 12 metros). Fácil de transportar, mediante plegado frontal de los sub chasis laterales, versátil y con un muy buen copiado del terreno.
El chasis central con 4 ruedas en balancín, más 2 ruedas auto orientables en el sector delantero de los sub chasis, hacen que el peso esté repartido siempre, sin sobrecargar el enganche del tractor en el traslado.

Rodados: Cubiertas 400/55 – 22.5 16 telas alta flotación.

Cuerpo de Siembra: Doble disco de 16”, montado sobre maza forjada abulonada al disco. Con dobles ruedas de control de profundidad semineumáticas de 2 7/8”. Contacto suelo-semilla opcional entre lengüeta apretadora, o rueda apretadora de semillas 1”x 9 1/2”.

Sellado del surco: horquilla c/dobles ruedas tapadoras, opcional entre cubierta 1” x 12”(banda redonda o trapezoidal) c/disco escotado, o ruedas tapadoras de hierro, o disco tapador dentado Ø365. El cuerpo sembrador está sujeto al chasis mediante paralelogramos articulados con doble buje de pivoteo, y sistema de resortes de carga.

Cuchillas de corte: En la línea de siembra, corta el rastrojo sin incorporarlo.

Tolva: De gran autonomía, compartimentadas para semillas y fertilizante en una proporción de 60% – 40% respectivamente. Tabique deflector para la utilización de un solo insumo.

Fertilización: Simple en la línea. Opcional: Fertilización lateral mediante barra portaherramientas delantera. Dosificador conformado por rueda tipo “chevrón”. Regulación con caja variable.

Sistema de mando: Cinemática accionada por motores hidráulicos o eléctricos en siembra, y motor hidráulico en fertilización.

Ancho de trabajo: 12,40m

Largo de traslado: 8,20m",https://drive.google.com/file/d/1k0_9n-CkJPGB1IzV1G5PluzRJ6KAyy03/view?usp=drive_link,https://drive.google.com/file/d/1c3libKHQ4lR8S33pztAN6Un8DZjXvY_g/view?usp=drive_link; https://drive.google.com/file/d/1ktCwUCCxrh5FzCHFRITqpSVt45TtH9Oc/view?usp=drive_link; https://drive.google.com/file/d/1PqtKBo1MKBe2FleT66G3ClYnv1GP0W6x/view?usp=drive_link,,https://drive.google.com/file/d/1ssO4YTIvUzQT7Fc_omvIgzrSzkLmGsNa/view?usp=drive_link ,.
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Autoelevador ME20-30D,Vial y Agro,Autoelevadores,Michigan,"Capacidad de carga:  :  
2000 Kg
Altura máxima de carga:  :  
3000 mm
Comando operativo:   
Palancas
Tracción:   
2WD
Caja de cambio:   
Hidráulica
Protección:   
Jaula de seguridad
Calefacción/Aire acondicionado:   
No/No
Vel. elevación de carga:   
600 mm/s
Ángulo máximo de subida:   
20%
Ángulo de inclinación de torre:   
6/12º
Velocidad de trabajo (baja):   
-- Km/h
Velocidad de traslado (alta):   
20 Km/h
Peso Operativo:   
3450 Kg
Largo:   
2520 mm
Largo uña elevadora:   
1070 mm
Ancho:   
1160 mm
Alto:   
2110 mm
Distancia entre ejes:   
1650 mm
Trocha:   
970 mm / 980 mm
Mínima distancia al piso:   
150 mm
Distancia a centro de carga:   
500 mm
Radio de giro:   
2250 mm
Motor - Marca:  
Xinchai
Motor - Potencia:  
40 Kw / 54 Hp
Motor - Torque máximo:  
156 Nm / 1800 Rpm
Motor - Cilindrada:  
2.67 L
Rodado - Frontal:  
7.00-12-12 PR
Rodado - Trasero:  
6.00-9-10 PR",https://drive.google.com/file/d/1M_qkdDzvm_PPYKw9XDF-jHHtxfHYLhFm/view?usp=drive_link,.,,,https://drive.google.com/file/d/1Yrp_1foxGM06IVYciYwfa9RRGkn597qK/view?usp=drive_link
Autoelevador ME20-45T,Vial y Agro,Autoelevadores,Michigan,"Capacidad de carga:  :  
2000 Kg
Altura máxima de carga:  :  
4500 mm
Comando operativo:   
Palancas
Tracción:   
2WD
Caja de cambio:   
Hidráulica
Protección:   
Jaula de seguridad
Calefacción/Aire acondicionado:   
No/No
Vel. elevación de carga:   
600 mm/s
Ángulo máximo de subida:   
20%
Ángulo de inclinación de torre:   
6/12º
Velocidad de trabajo (baja):   
-- Km/h
Velocidad de traslado (alta):   
20 Km/h
Peso Operativo:   
3450 Kg
Largo:   
2520 mm
Largo uña elevadora:   
1070 mm
Ancho:   
1160 mm
Alto:   
2110 mm
Distancia entre ejes:   
1650 mm
Trocha:   
970 mm / 980 mm
Mínima distancia al piso:   
150 mm
Distancia a centro de carga:   
500 mm
Radio de giro:   
2250 mm
Motor - Marca:  
Xinchai
Motor - Potencia:  
40 Kw / 54 Hp
Motor - Torque máximo:  
156 Nm / 1800 Rpm
Motor - Cilindrada:  
2,67 L
Rodado - Frontal:  
7.00-12-12PR
Rodado - Trasero:  
6.00-9-10PR",https://drive.google.com/file/d/1lKIiqQm7d8BjBB5kFDepZtO6bLMneuLT/view?usp=drive_link,.,,https://drive.google.com/file/d/1katyxnyhdMyVhMMg_Rf4Wp2SPmRfwhhD/view?usp=drive_link,https://drive.google.com/file/d/1Yrp_1foxGM06IVYciYwfa9RRGkn597qK/view?usp=drive_link
Autoelevador ME25 30D,Vial y Agro,Autoelevadores,Michigan,"Capacidad de carga:  :  
2500 Kg
Altura máxima de carga:  :  
3000 mm
Comando operativo:   
Palancas
Tracción:   
2WD
Caja de cambio:   
Hidráulica
Protección:   
Jaula de seguridad
Calefacción/Aire acondicionado:   
No/No
Vel. elevación de carga:   
450 mm/s
Ángulo máximo de subida:   
20%
Ángulo de inclinación de torre:   
6/12º
Velocidad de trabajo (baja):   
-- Km/h
Velocidad de traslado (alta):   
20 Km/h
Peso Operativo:   
3750 Kg
Largo:   
2580 mm
Largo uña elevadora:   
1070 mm
Ancho:   
1160 mm
Alto:   
2110 mm
Distancia entre ejes:   
1650 mm
Trocha:   
970 mm / 980 mm
Mínima distancia al piso:   
150 mm
Distancia a centro de carga:   
500 mm
Radio de giro:   
2250 mm
Motor - Marca:  
Xinchai
Motor - Potencia:  
40 Kw / 54 Hp
Motor - Torque máximo:  
156 Nm
Motor - Cilindrada:  
2,67 L
Rodado - Frontal:  
7.00-12-12PR
Rodado - Trasero:  
6.00-9-10PR",https://drive.google.com/file/d/1auQcLLQKAUYcW3IeYgCY03Kddq3Ik8XG/view?usp=drive_link,.,,,https://drive.google.com/file/d/1Yrp_1foxGM06IVYciYwfa9RRGkn597qK/view?usp=drive_link
